PRODUCT CODE,PRODUCT TITLE,BRAND,PRODUCT TYPE,GTIN,PRICE
KC00676,Wypall L20 Wiper Roll Control Dispenser White 7018,Wypall,Sanitary Dispensers,05027375020100,23.08
KZ36220,Katrin Zig Zag Hand Towels 1-Ply Blue (Pack of 5000) 362200,Katrin,Sanitary Refills,5902467362200,23.23
CNT03202,Multipurpose Heavy Gauge Handle 120cm White (Pack of 24) 102857,Unbranded,Cleaning Equipment,05013174032024,23.26
KC05159,WypAll L10 Food and Hygiene Centrefeed Paper Rolls 1 Ply Blue (Pack of 6) 6223,WypAll®,Sanitary Refills,05027375051593,23.30
KC05158,WypAll L10 Food and Hygiene Centrefeed Paper Rolls 1 Ply White (Pack of 6) 6222,WypAll®,Sanitary Refills,05027375051586,23.30
TSL99965,Bundle Organic Regular Day Pads 14 x4 Packs/Night Pads 10 x 6 Packs/Pant Liners 30 x 1 Pack OPBUND5,Win Win,Sanitary Dispensers,5014107999650,23.31
CNT00943,Lobby Dustpan and Brush Set HDLP.01,Contico,Cleaning Equipment,020027061785,23.43
LIL20694,Lil-Lets Cardboard Applicator Tampons Regular x12 (Pack of 24) 91CBAPP2,Lil-Lets,Sanitary Refills,05025971206942,23.48
LIL20695,Lil-Lets Cardboard Applicator Tampons Super x12 (Pack of 24) 91CBAPP3,Lil-Lets,Sanitary Refills,05025971206959,23.48
LIL20693,Lil-Lets Organic Non-Applicator Tampons Regular x16 (Pack of 12) 90ORGREG16,Lil-Lets,Sanitary Refills,05025971206935,23.48
LIL20691,Lil-Lets Organic Non-Applicator Tampons Super x16 (Pack of 12) 90ORGSUP16,Lil-Lets,Sanitary Refills,05025971206911,23.48
KC04226,Kleenex Toilet Tissue Roll Small White (Pack of 36) 8477,Kleenex®,Sanitary Refills,5033848042265,23.48
KC05202,Kleenex Jumbo Toilet Tissue White 190m (6 Pack) 8570,Kleenex®,Sanitary Refills,5027375052026,23.48
DV11730,Titan Chlor + Chlorine Tabs (Pack of 200) 7518698,Titan,Cleaning Products,7615400117307,23.58
WE35438,30 Litre Grit Bin and 25kg Salt Kit 389113,0,Janitorial Other,5052105354385,23.68
2W70583,2Work 1-Ply Multi-Fold Hand Towels White (Pack of 3000) 2W70583,2Work,Sanitary Refills,5010146705832,23.73
